environment,training_seed,run_name,relative_checkpoint,bytes,sha256
cube,3072,cube_res_inv_detachact_mifixedvar_seed3072_seedfix,cube_res_inv_detachact_mifixedvar_seed3072_seedfix/cube_res_inv_detachact_mifixedvar_seed3072_seedfix_epoch_10_object.ckpt,77136535,2936155aaf57ef352107c2f80b6e45ce427f0e921aa8c97cd1bea1e9c3d63cad
cube,4096,cube_res_inv_detachact_mifixedvar_seed4096_seedfix,cube_res_inv_detachact_mifixedvar_seed4096_seedfix/cube_res_inv_detachact_mifixedvar_seed4096_seedfix_epoch_10_object.ckpt,77136535,6c4381c9f879743e25b34374eb5c0a5170565d559169871afb806aa3a42798fb
cube,6144,cube_res_inv_detachact_mifixedvar_seed6144_seedfix,cube_res_inv_detachact_mifixedvar_seed6144_seedfix/cube_res_inv_detachact_mifixedvar_seed6144_seedfix_epoch_10_object.ckpt,77136535,5f009c5aeabe5ebd4308bd8647952ea2e51e1e3a586db8a48b220281788cfbc6
reacher,3072,reacher_res_inv_detachact_mifixedvar_seed3072_seedfix,reacher_res_inv_detachact_mifixedvar_seed3072_seedfix/reacher_res_inv_detachact_mifixedvar_seed3072_seedfix_epoch_10_object.ckpt,77136934,3f0c70b47a3f99adae33e4849be03b55aa3e0f85a28bdf7b736bb3d9b6434021
reacher,4096,reacher_res_inv_detachact_mifixedvar_seed4096_seedfix,reacher_res_inv_detachact_mifixedvar_seed4096_seedfix/reacher_res_inv_detachact_mifixedvar_seed4096_seedfix_epoch_10_object.ckpt,77136934,56c87c71b3719ec9c05015641096ff4cdd8fb338bf953b80559d0c47f0241b55
reacher,6144,reacher_res_inv_detachact_mifixedvar_seed6144_seedfix,reacher_res_inv_detachact_mifixedvar_seed6144_seedfix/reacher_res_inv_detachact_mifixedvar_seed6144_seedfix_epoch_10_object.ckpt,77136934,fc129ec67a87ad0ec1e8c8312d8d2eebc7cea549b79cf4e9413635267597eac3
tworoom,3072,tworoom_res_inv_detachact_mifixedvar_seed3072_seedfix,tworoom_res_inv_detachact_mifixedvar_seed3072_seedfix/tworoom_res_inv_detachact_mifixedvar_seed3072_seedfix_epoch_10_object.ckpt,77136934,92ee6859434001ed500eec52da77d20a1efac6e6da5c1595c5640d2550794ef0
tworoom,4096,tworoom_res_inv_detachact_mifixedvar_seed4096_seedfix,tworoom_res_inv_detachact_mifixedvar_seed4096_seedfix/tworoom_res_inv_detachact_mifixedvar_seed4096_seedfix_epoch_10_object.ckpt,77136934,8e5de1170c170923d64b36e2681142dd321161724177b6986769ed238d23b6e3
tworoom,6144,tworoom_res_inv_detachact_mifixedvar_seed6144_seedfix,tworoom_res_inv_detachact_mifixedvar_seed6144_seedfix/tworoom_res_inv_detachact_mifixedvar_seed6144_seedfix_epoch_10_object.ckpt,77136934,651ec87ee2fa777b0406164ec96cadaee2ec8b792573067002d5a0966d892116
pusht,3072,pusht_res_inv_detachact_mifixedvar_seed3072_seedfix,pusht_res_inv_detachact_mifixedvar_seed3072_seedfix/pusht_res_inv_detachact_mifixedvar_seed3072_seedfix_epoch_10_object.ckpt,77136284,e61130c558de9ed5c9c740a58ecb08a97c5c92473b45fd275a425fb46f281e9e
pusht,4096,pusht_res_inv_detachact_mifixedvar_seed4096_seedfix,pusht_res_inv_detachact_mifixedvar_seed4096_seedfix/pusht_res_inv_detachact_mifixedvar_seed4096_seedfix_epoch_10_object.ckpt,77136284,c6e34432ee5d1c7f2d7b6a5856258c81d811817e0fcb3d16fdf14cef4afac1cb
pusht,6144,pusht_res_inv_detachact_mifixedvar_seed6144_seedfix,pusht_res_inv_detachact_mifixedvar_seed6144_seedfix/pusht_res_inv_detachact_mifixedvar_seed6144_seedfix_epoch_10_object.ckpt,77136284,e7e4e02c0a75c7dc92e6a6e78e175ef0b1d6a5c5c36e34c6e72795a7cf01ffd7
scene,3072,scene_res_inv_detachact_mifixedvar_w0001_seed3072_seedfix,scene_res_inv_detachact_mifixedvar_w0001_seed3072_seedfix/scene_res_inv_detachact_mifixedvar_w0001_seed3072_seedfix_epoch_10_object.ckpt,77158970,5af897477a735de02db2761a25a7a788f49fcbce5783585ddbeedb19113a1a97
scene,4096,scene_res_inv_detachact_mifixedvar_w0001_seed4096_seedfix,scene_res_inv_detachact_mifixedvar_w0001_seed4096_seedfix/scene_res_inv_detachact_mifixedvar_w0001_seed4096_seedfix_epoch_10_object.ckpt,77158970,1112eb432eee4ebff76af11c362fea185e8e643bde9c2c72561adc390ed47326
scene,6144,scene_res_inv_detachact_mifixedvar_w0001_seed6144_seedfix,scene_res_inv_detachact_mifixedvar_w0001_seed6144_seedfix/scene_res_inv_detachact_mifixedvar_w0001_seed6144_seedfix_epoch_10_object.ckpt,77158970,61a58f1a1eac0ad41f2ed112803c781b325c705292a4fbea105413bca1300635
