method,protocol,checkpoints,mean_percent,population_sd_percent
fast_lewm_cem,original,1,80,0
fast_lewm_cem,p00,1,24,0
fast_lewm_cem,p01,1,20,0
fast_lewm_cem,p02,1,10,0
fast_lewm_cem,p03,1,2,0
fast_lewm_cem,p04,1,0,0
subjepa_cem,original,1,78,0
subjepa_cem,p00,1,34,0
subjepa_cem,p01,1,20,0
subjepa_cem,p02,1,10,0
subjepa_cem,p03,1,10,0
subjepa_cem,p04,1,10,0
intact_direct,original,3,98.66666667,1.885618083
intact_direct,p00,3,99.33333333,0.9428090416
intact_direct,p01,3,99.33333333,0.9428090416
intact_direct,p02,3,88.66666667,1.885618083
intact_direct,p03,3,35.33333333,3.399346342
intact_direct,p04,3,10,0
intact_pure_cem,original,3,74.66666667,0.9428090416
intact_pure_cem,p00,3,20,3.265986324
intact_pure_cem,p01,3,21.33333333,9.285592185
intact_pure_cem,p02,3,13.33333333,2.494438258
intact_pure_cem,p03,3,6.666666667,1.885618083
intact_pure_cem,p04,3,3.333333333,2.494438258
intact_actor_cem,original,3,94.66666667,2.494438258
intact_actor_cem,p00,3,78.66666667,3.399346342
intact_actor_cem,p01,3,72,5.656854249
intact_actor_cem,p02,3,56,4.320493799
intact_actor_cem,p03,3,33.33333333,12.36482466
intact_actor_cem,p04,3,10.66666667,2.494438258
