method,training_seed,eval_seed,protocol,case_index,episode,start_idx,success,perturb_x,perturb_y
fast_lewm_cem,released,42,original,0,638,29,1,0.0,0.0
fast_lewm_cem,released,42,original,1,679,34,0,0.0,0.0
fast_lewm_cem,released,42,original,2,859,76,1,0.0,0.0
fast_lewm_cem,released,42,original,3,892,85,1,0.0,0.0
fast_lewm_cem,released,42,original,4,921,61,1,0.0,0.0
fast_lewm_cem,released,42,original,5,941,132,1,0.0,0.0
fast_lewm_cem,released,42,original,6,1281,19,0,0.0,0.0
fast_lewm_cem,released,42,original,7,1652,49,1,0.0,0.0
fast_lewm_cem,released,42,original,8,1825,82,1,0.0,0.0
fast_lewm_cem,released,42,original,9,2014,114,1,0.0,0.0
fast_lewm_cem,released,42,original,10,2272,64,1,0.0,0.0
fast_lewm_cem,released,42,original,11,2767,102,0,0.0,0.0
fast_lewm_cem,released,42,original,12,3545,43,1,0.0,0.0
fast_lewm_cem,released,42,original,13,3707,162,1,0.0,0.0
fast_lewm_cem,released,42,original,14,4024,16,0,0.0,0.0
fast_lewm_cem,released,42,original,15,4330,7,1,0.0,0.0
fast_lewm_cem,released,42,original,16,4388,117,1,0.0,0.0
fast_lewm_cem,released,42,original,17,4434,16,0,0.0,0.0
fast_lewm_cem,released,42,original,18,4456,152,1,0.0,0.0
fast_lewm_cem,released,42,original,19,4503,137,1,0.0,0.0
fast_lewm_cem,released,42,original,20,4504,96,1,0.0,0.0
fast_lewm_cem,released,42,original,21,5003,76,1,0.0,0.0
fast_lewm_cem,released,42,original,22,5132,29,0,0.0,0.0
fast_lewm_cem,released,42,original,23,5264,118,1,0.0,0.0
fast_lewm_cem,released,42,original,24,5454,39,1,0.0,0.0
fast_lewm_cem,released,42,original,25,5545,140,1,0.0,0.0
fast_lewm_cem,released,42,original,26,6316,107,1,0.0,0.0
fast_lewm_cem,released,42,original,27,6438,99,0,0.0,0.0
fast_lewm_cem,released,42,original,28,6545,95,1,0.0,0.0
fast_lewm_cem,released,42,original,29,6779,32,0,0.0,0.0
fast_lewm_cem,released,42,original,30,6973,90,1,0.0,0.0
fast_lewm_cem,released,42,original,31,7005,35,0,0.0,0.0
fast_lewm_cem,released,42,original,32,7174,110,1,0.0,0.0
fast_lewm_cem,released,42,original,33,7357,64,1,0.0,0.0
fast_lewm_cem,released,42,original,34,7580,148,1,0.0,0.0
fast_lewm_cem,released,42,original,35,7611,42,1,0.0,0.0
fast_lewm_cem,released,42,original,36,7739,61,1,0.0,0.0
